"Book Id","ISBN","Bookshelf","Tags","Wishlist","Started Reading On","Ended Reading On","Pages Read","Read","My Rating","Short note","Advanced note","Quotes","Title","Subtitle","Language","Categories","Authors","Illustrators","Translators","Editors","Narrators","Photographers","Publisher","Page Count","Published At","Format","Series","Volume","Loan Type","Loan Name","Loan Start Date","Loan Due Date","Purchase From","Purchase Price","Purchase Date","Description","Date added"
"45638","9783453319707","2021 und davor","Fantasy",0,,,200,1,,,,"","Selias Geheimnis (Demon Cycle #5.5)",,"de","","Peter V. Brett","","","","","","Heyne Verlag",200,"2018-11-12","paperback","Dämonenzyklus",5.5,,,,,,,,"Bevor ihn alle Menschen als den Tätowierten Mann fürchteten und später als Erlöser feierten, war er einfach nur Arlen aus Tibbets Bach. Eine von denen, die ihn aufwachsen sahen, war Selia, die als Dorfsprecherin in Tibbets Bach für Ordnung sorgte und sich für Arlen einsetzte. Dass der oft widerwillige Respekt, der ihr von allen entgegengebracht wurde, sowie der abfällige Beiname »die Unfruchtbare« auf ein lange gehütetes Geheimnis der alten Frau zurückgingen, das ahnte niemand. Doch nun haben sich Seelendämonen den Geburtsort von Arlen ausgesucht, um als nächstes anzugreifen. Und in den Kämpfen um die Zukunft von Tibbets Bach brechen alte Wunden auf – heimliche Wunden, die Selia lange verborgen hielt. Als einige Dörfler sich plötzlich offen gegen sie stellen, beschließt Selia, sich nicht länger zu verstecken und ihr Geheimnis bloßzulegen. Das Geheimnis ihrer Liebe zu einer Frau …

Die Novelle Selias Geheimnis spielt nach den Ereignissen von Das Leuchten der Magie und Die Stimmen des Abgrunds. Das Buch enthält außerdem ein Grimoire der Siegelzeichen.","2022-11-28"
"45637","9783453316829","2021 und davor","Fantasy",0,,,208,1,,,,"","Das Erbe des Kuriers (Demon Cycle #3.5)",,"de","","Peter V. Brett","","","","","","Heyne Verlag",208,"2015-04-14","paperback","Dämonenzyklus",3.5,,,,,,,,"Das Erbe des Kuriers knüpft an die Ereignisse aus Das Lied der Dunkelheit an.

Angst beherrscht die Welt, denn immer nachts machen Dämonen Jagd auf alles, was lebt. Nur die Kuriere wagen sich noch auf die lebensgefährlichen mehrtägigen Reisen von Dorf zu Dorf und Stadt zu Stadt. Als der alte Ragen, der seine Kurierrouten an den jungen Arlen Bales abgetreten hat, jedoch erfährt, dass der Sohn seines Jugendfreundes verschwunden ist, macht er sich auf seine letzte, beschwerliche Reise. Hinaus in die Wildnis, wo die Dämonen warten …","2022-11-28"
"45636","9783453527089","2021 und davor","Fantasy",0,,,240,1,,,,"","Der große Basar (Demon Cycle, #1.6)","Erzählungen aus der Welt des Fantasy-Bestsellers ""Das Lied der Dunkelheit""","de","","Peter V. Brett","","","","","","Heyne Verlag",240,"2010-04-06","paperback","Dämonenzyklus",1.5,,,,,,,,"Dunkelheit regiert die Welt. Jede Nacht steigen Dämonen aus dem Boden hervor und bedrohen die Menschen. Keiner wagt es, sich den übermächtigen Kreaturen entgegenzustellen, bis auf Arlen. Der Junge beschließt, nach den alten, längst vergessenen magischen Siegeln zu suchen, mit denen die Dämonen besiegt werden können. Ein Abenteuer, das den Lauf der Welt für immer verändern wird …","2022-11-28"
"45635","9783453319387","2021 und davor","5 Books per month,Fantasy",0,,,560,1,,,,"","Die Stimmen des Abgrunds (Demon Cycle, #5.2)","Die Stimmen Des Abgrunds: Roman","de","","Peter V. Brett","","","","","","Heyne",560,"2018-04-10","paperback","Dämonenzyklus",6,,,,,,,,"Nach Das Leuchten der Magie ist Die Stimmen des Abgrunds der packende zweite Teil des fünften Bandes von Peter V. Bretts Dämonensaga, der im Original unter dem Titel The Core erschienen ist. Der letzte Krieg zwischen Menschen und Dämonen steht unmittelbar bevor, und die einzige Hoffnung der Menschheit ruht nun auf Arlen, seiner Frau Renna und seinem Rivalen Jardir. Denn nur, wenn es ihnen gelingt, den Willen eines der mächtigen Dämonenprinzen zu brechen und ihn zu zwingen, sie in den Abgrund zu führen, werden sie die dort herangezüchtete Dämonenarmee aufhalten können. Aber noch ist der Sieg gegen die Dämonen nur ein Traum …","2022-11-28"
"45634","9783453315747","2021 und davor","5 Books per month,Fantasy",0,,,656,1,,,,"","Das Leuchten der Magie (The Demon Cycle, #5)",,"de","","Peter V. Brett","","Ingrid Herrmann-Nytko","","","","Heyne Verlag",656,"2017-09-11","paperback","Dämonenzyklus",5,,,,,,,,"Das Leuchten der Magie ist der atemberaubende erste Teil von The Core, dem fünften Band und grandiosen Höhepunkt von Peter V. Bretts Dämonensaga. Der zweite Teil erscheint unter dem Titel Die Stimmen des Abgrunds im Frühjahr 2018.

Seit die Menschen beschlossen haben, sich den Dämonen der Nacht entgegenzustellen und zu kämpfen, hat sich das Antlitz der Welt gewandelt. Das Volk der Krasianer ist gegen den Norden in den Krieg gezogen, und das kleine Tal der Holzfäller ist zu einer mächtigen, siegelbewehrten Stadt angewachsen. Doch Arlen, der tätowierte Mann, und Jardir, der Anführer der Krasianer, stehen sich immer noch in erbitterter Feindschaft gegenüber – bis sie eines Tages beschließen, gemeinsam den Kampf zu den Dämonen hinunter ins Reich der Tiefe zu tragen. Die letzte Schlacht gegen die Wesen der Finsternis entscheidet über das Schicksal aller Völker …","2022-11-28"
"45633","9783453315730","2021 und davor","5 Books per month,Fantasy",0,,,1056,1,,,,"","Der Thron der Finsternis (Demon Cycle, #4)",,"de","","Peter V. Brett","","","","","","Heyne",1056,"2015-09-08","paperback","Dämonenzyklus",4,,,,,,,,"Der lange erwartete vierte Band von Peter V. Bretts Dämonensaga.

Die Welt der Menschen ist in Aufruhr. Nacht für Nacht steigen die Dämonen aus der Tiefe auf, um die Bewohner der Städte und Dörfer in Angst und Schrecken zu versetzen. Seit nicht nur ein, sondern zwei Männer aufgestanden sind, um gegen die finsteren Wesen zu kämpfen und die Völker der Menschen endlich zu befreien, herrscht allerdings Krieg – denn Arlen und Jardir könnten verschiedener nicht sein. Nicht einmal ein Zweikampf der beiden konnte den Zwist beenden, doch nun müssen sie sich ihrer größten Herausforderung stellen: dem Kampf gegen die Dämonenkönigin. Gemeinsam oder allein …","2022-11-28"
"45632","9783453524743","2021 und davor","",0,,,1057,1,,,,"","Die Flammen der Dämmerung (Demon Cycle, #3)","Die Flammen Der Dämmerung: Roman","de","","Peter V. Brett","","Ingrid Herrmann-Nytko","","","","Heyne",1057,"2013-03-11","paperback","Dämonenzyklus",3,,,,,,,,"Der Krieg um das Schicksal der Menschheit hat begonnen

Die Menschheit ist gefangen in einem Albtraum: Jede Nacht steigen Dämonen aus dem Boden empor und machen Jagd auf alle Lebewesen. Nur wenige wagen es, diesen Kreaturen zu widerstehen, unter ihnen Arlen, der tätowierte Mann, und Jardir, der Anführer der Wüstenkrieger. Doch die Welt duldet nur einen Erlöser der Menschheit, und ein Krieg scheint unvermeidlich – während sich in den Tiefen der Finsternis das Heer der Dämonen zum Marsch rüstet und eine blutige Zukunft heraufdämmert. Der letzte Kampf um die Rettung der Menschheit vor den Dämonen der Nacht beginnt.","2022-11-28"
"45631","9783453526112","2021 und davor","5 Books per month,Fantasy",0,,,1007,1,,,,"","Das Flüstern der Nacht (Demon Cycle, #2)","Roman","de","","Peter V. Brett","","Ingrid Herrmann-Nytko","","","","Heyne",1007,"2010-08-09","paperback","Dämonenzyklus",2,,,,,,,,"Die Menschheit ist gefangen in der Furcht vor den Dämonen der Dunkelheit. Nur der junge Arlen beschließt, sich mit magischen Siegeln den finsteren Wesen entgegenzustellen, und wird schon bald zu einer Legende. Als plötzlich aus dem Süden ein zweiter Befreier der Menschen auftaucht, droht alles in Chaos zu versinken. Doch Arlen hält fest an seiner Hoffnung auf das Ende der Nacht...","2022-11-28"
"45630","9783453524767","2021 und davor","5 Books per month,Fantasy",0,,,797,1,,,,"","Das Lied der Dunkelheit (Demon Cycle, #1)","Roman","de","","Peter V. Brett","","Ingrid Herrmann-Nytko","","","","Heyne",797,"2009-05-04","paperback","Dämonenzyklus",1,,,,,,,,"„Weit ist die Welt – und dunkel …“

… und in der Dunkelheit lauert die Gefahr. Das muss der junge Arlen auf bittere Weise selbst erfahren. Schon seit Jahrhunderten haben Dämonen, die sich des Nachts aus den Schatten erheben, die Menschheit zurückgedrängt. Das einzige Mittel, mit dem die Menschen ihre Angriffe abwehren können, sind die magischen Runenzeichen. Als Arlens Mutter bei solch einem Dämonenangriff umkommt, flieht er aus seinem Heimatdorf. Er will nach Menschen suchen, die den Mut noch nicht aufgegeben und das Geheimnis um die alten Kriegsrunen noch nicht vergessen haben. 

„Das Lied der Dunkelheit“ ist ein eindringliches, fantastisches Epos voller Magie und Abenteuer. Es erzählt die Geschichte eines Jungen, der einen hohen Preis bezahlt, um ein Held zu werden. Und es erzählt die Geschichte des größten Kampfes der Menschheit – der Kampf gegen die Furcht und die Dämonen der Nacht.","2022-11-28"
"4416937","9780648850939","2021 und davor","Fantasy",0,,,498,1,,,,"","Subversion",,"en","Adventure,Fantasy","Mitchell Hogan","","","","","","Crucible Press",498,"2021-06-01","paperback","The Necromancer's Key",3,,,,,,,,"A corrupted power stirs from beyond the grave.

The Necromancer Queen will rise again.




Sent with a contingent of knights to reinforce the Thousand Lakes Kingdom against the aggression of the normally peaceable Soreshi, Anskar DeVantte learns that the Necromancer Queen Talia's reach is longer than he could have believed.




Cajoled into procuring the components of the Armor of Divinity that will bring Talia back from the realm of the dead, Anskar must put her demands to one side when the real threat facing the Kingdom is revealed.




For the Necromancer Queen is not the only shadow of evil reaching forth.




And Anskar's growing sorcerous abilities may be all that stands in the breach between the world of Wiraya and a second cataclysmic demon war.




An immersive and ambitious new series from the Aurealis Award-winning author of A Crucible of Souls.","2022-11-28"
